Topic,Count,Name,CustomName,Representation,Representative_Docs
-1,3807,-1_specification_software version_manufactured_complaints,Outlier / unassigned narrative,"[""specification"", ""software version"", ""manufactured"", ""complaints"", ""procedure"", ""automated"", ""assembly"", ""component"", ""patients"", ""error""]","[""for the automated multi-image-acquisition procedure ortho x-ray collimation is set in a preparative stage for the entire examination area prior to the exam. during acquisition of each individual x-ray image, the x-ray collimator is automatically positioned in a way that the subsequent series of acquisition covers the defined field of view needed for each step. however, during the acquisition the collimation area displayed to the operator on the user interface does not correctly represent the collimation area specified by the system. it indicates to the user an open collimator instead, e.g., the information displayed on the user interface shows wider area of collimation than values preset prior to the examination. however, the collimation of the x-ray is performed correctly and always matches the examination area predefined by the user."", ""a tracker that holds and guides neurosurgical surgical instruments be subject to separation/weld failure, where the tracker connects to the instrument tube. if a weld separation occurs and a navigation inaccuracy is experienced, it result in prolonged procedure and tissue injury. per 11/24/21 firm email: the bundle autoguide reg kit does not have a model number. the bundle autoguide reg kit is internal terminology and not visible to the customer and are used as sales and shipping configuration only. when this sales bundle is chosen by an internal manufacturer sales representative the devices included in the bundle are individually packaged and labeled and sent to the customer in a single shipment. the devices included in the bundle are ordered, packed, and shipped as individual medical devices with unique model numbers, which is the reason that the autoguide tracker (28248) and the stealth autoguide basic instrument kit (9736188) are the only part numbers subject to this fca."", ""manufacturer has received complaints about fragments of adhesive which detached from inside the working channel of the referenced products. cracking, chipping, missing pieces, and delamination of the adhesive have also been reported. in one case, a fragment of the adhesive was detected inside a patient's urethra during a procedure and was retrieved without injury to the patient. the manufacturer, manufacturer winter & lbe gmbh (\""owi\"") has determined that adhesive can be dislodged during the intended use of the cystoscopy bridge or working insert, e.g., when inserting an instrument through the working channel. as a result, a fragment of the adhesive fall inside the patient's bladder, urethra or uterus and would need to be retrieved, extending the length of the procedure or requiring additional surgical treatment. the adhesive is used to seal gaps inside the working channel of the cystoscopy bridges and working inserts. in , the adhesive used until then was discontinued and had to be replaced. current investigations revealed that the durability of the new adhesive is insufficient""]"
0,1196,0_patient samples_patient sample_calibration failures_immunoassay,Erroneous diagnostic and laboratory test results,"[""patient samples"", ""patient sample"", ""calibration failures"", ""immunoassay"", ""patient results"", ""calibrators"", ""test results"", ""clinical manufacturertics"", ""calibration"", ""vitros chemistry""]","[""the reason for the is the pneumatic tubing used in the analytical pick-and-place (pnp) assembly cable fully or partially disconnect from the flex cable assembly fittings during normal operation. the dxi 9000 access immunoassay analyzer generate a system event log message that indicates pnp errors. any cancelled tests will have an associated sys flag. the analyzer enter the red-system status because of this . the analyzer also not eject rvs, where unbound conjugate could potentially splash up on the sidewall of the rv, not being properly washed away, resulting in an artificially higher signal (rlu). the analyzer not detect this splashing and continue with normal operation, which can cause false low or high erroneous results. consequently, the analyzer cancel in-progress tests. these errors could potentially cause delay reporting patient test results and patient treatments. the degree of the potential health hazard is dependent on the analytes that are potentially delayed, especially those analytes that would be used in the acute setting when treatment decisions are immediate. in this particular the highest risk analyte is troponin. health consequences could include permanent impairment or possibly death if medical treatment decisions are delayed due to a delay in obtaining patient results. the was identified by manufacturer manufacturing staff at their location in brea california on 29, , during in-process acceptance inspection activities."", ""ortho clinical manufacturertics (ocd) confirmed the potential for lower than expected c-reactive protein (crp) results only to be generated when using vitros chemistry products specialty diluent (lot f3168) or vitros chemistry products fs diluent pack 3 (lot 01-3266). the vitros instructions for use states that if the if a c-reactive protein concentration exceeds the systems measuring (reportable or dynamic) range, dilute the sample with vitros specialty diluent or a patient sample containing a low concentration of crp. an initial threefold dilution is recommended. internal testing determined that results using vitros crp slides have the potential for approximately 51% bias using a 3x dilution factor."", ""manufacturermens healthineers has received customer complaints and confirmed imprecision for quality control (qc) and patient samples with dimension tacrolimus (tac) lots ga2286, ga3047 and ga3171. the health consequences of erroneous patient results are major, since in a worst case scenario, a patient s tacrolimus dosing could be altered, resulting in potential organ failure and rejection (due to too low or no tacrolimus being administered) or toxicity (due to too much tacrolimus being administered). manufacturermens internal investigation of the dimension tac assay showed the worst case imprecision with patient samples at the low end of the analytical measurement range (amr). a patient sample at 2.0 ng/ml (2.6 nmol/l) recovered as 0.0 ng/ml (0.0 nmol/l) (100% negative bias), another patient sample at 2.1 ng/ml (2.7 nmol/l) recovered at 4.3 ng/ml (5.6 nmol/l) (103% positive bias).""]"
1,700,1_implant size_tibial insert_hip stem_manufacturer orthopaedics,"Orthopedic implant sizing, packaging, and compatibility issues","[""implant size"", ""tibial insert"", ""hip stem"", ""manufacturer orthopaedics"", ""implant"", ""dental implant"", ""tibial base"", ""prosthesis"", ""tibial bearing"", ""implantation""]","[""all lots of the persona cemented tibial drill, 5 degree cemented stemmed natural tibia implants, and associated tools including the tibial drill guide, broach, and sizing plate are being removed and replaced with enhanced products and instruments to reduce risks of tibial perforation which could result in tibial bone fracture due to the stress riser created by a perforation; tibial plate loosening"", ""the g-pin 2.8bl 3.2pl 60 cm 2pk is intended to contain one (1) 467265-01 ball tip guide pin and one (1) 467255-02 plain tip guide pin. the g-pin 2.8bl 3.2pl 60 cm 2pk have been packaged incorrectly either with two (2) 467265-01 ball tip guide pins and zero (0) 467255-02 plain tip guide pins or with zero (0) 467265-01 ball tip guide pins and two (2) 467255-02 plain tip guide pins. if the g-pin 2.8bl 3.2pl 60 cm 2pk contains the incorrect combination of plain tip guide pins and ball tip guide pins, the surgeon would either have to implant the nail without the plain tip guide pin as a guide, ream with a plain tip guide pin, or choose to not ream the humeral canal. the risk associated with not having the correct combination can include a delay in surgery of less than 30 minutes, the reamer tip remaining in the distal humeral canal, or an iatrogenic fracture."", ""manufacturer biomet is conducting a medical device related to the nexgen stemmed option tibial components due to the clinically and statistically significant higher overall revision rates when these tibial components are used with either the legacy posterior stabilized (lps) flex or lps flex gender solutions femoral (gsf) components as compared to other total knee arthroplasties in the united kingdom national joint registry (uk njr). removing the nexgen stemmed option tibial component f rom inventory will prevent its future implantation with either the lps flex or lps flex gsf femoral components and mitigate the increased revision risk with these two specific combinations of tibial and femoral component.""]"
2,583,2_electrical safety_cause electrical_risk electrical_electrical shock,"Electrical, power supply, and thermal hazards","[""electrical safety"", ""cause electrical"", ""risk electrical"", ""electrical shock"", ""fuses"", ""electrical"", ""electrical short"", ""overheated"", ""result electrical"", ""electric shock""]","[""there is a potential safety associated with the magnet venting paths of the siemens 3 tesla mri system within your imris operating suite. siemens notified imris that an ice blockage exist within the magnet venting system. in the event of a quench, helium gas be unable to escape through the designed vent paths, leading to a pressure build-up within the helium containment system which could ultimately rupture the helium containment system, potentially resulting in a helium leak into the scanning room."", ""there is an increase in the failure rate of certain anode drive units (adu5) used in these products. early life failure of the adus only occurs when the hospital mains provide 480v to the system. this current voltage lead to saturation and overheating of the coils that protect the igbts (insulated-gate bipolar transistor) of the adu. the overheating also generate a peculiar burning smell that be noticed. in some instances this burning smell be noticed before the adu fails. when the adu fails the x-ray performance of the system is reduced to emergency fluoroscopy. exposure will not be possible and image quality is reduced."", ""there is a potential for an electrical short circuit to develop in a subset of 479 model 26907 power supply cable plugs that connect to the manufacturer model 29901 carelink encore programmer. a failure mode of the power supply has been found where an electrical short occurs on the low voltage direct current connector and results in the connector heating up, generating smoke, melting and in some cases disconnecting from the programmer.""]"
3,532,3_packaging sterility_defect sterile_sterile barrier_sterile package,Compromised sterile packaging barriers,"[""packaging sterility"", ""defect sterile"", ""sterile barrier"", ""sterile package"", ""sterility breach"", ""packaging sterile"", ""sterile packaging"", ""seal sterile"", ""breach sterility"", ""sterility compromised""]","[""product sterility is compromised due to breach of sterile barrier"", ""product sterility is compromised due to breach of the sterile barrier"", ""1. an accessory be improperly placed during packaging, causing creases and damage to the accessory's sterile pouch. 2. product packaging exhibit holes, cracks, dents, and crushed areas. both issues compromise the sterile barrier of the packaging, and exposure to non-sterile product result in inflammation, infection, sepsis, and ischemia.""]"
4,415,4_ventilator_ventilators_mechanical ventilation_ventilation patient,"Ventilation, breathing circuit, and oxygen delivery failures","[""ventilator"", ""ventilators"", ""mechanical ventilation"", ""ventilation patient"", ""plus ventilator"", ""breathing circuit"", ""respiratory failure"", ""ventilation"", ""oxygenator"", ""resuscitation""]","[""solder connection failure on power management printed circuit board assembly of ventilators cause 1) blower to lose power, spool down, and trigger visual and audible high priority check vent alarm indicating a need for alternative ventilation, or 2) intermittent connection disrupt expected operation and trigger unexpected shutdown without alarm. failures lead to hypercarbia/hypoxemia"", ""it has been identified that ventilators equipped with high flow therapy (software versions 3.00 and 3.10), that includes a designed safety mechanism that limits the amount of pressure that can be delivered to a patient, in situations where the system pressure reaches the maximum limit and sounds the \""cannot reach target flow\"" alarm , the system will reduce pressure and simultaneously decreasing the flow rate to a level below what was set by the clinicians. if the reason for the increase in pressure is not resolved, the ventilator will continue to provide the lower flow rate, which result in patients experiencing oxygen desaturation which can be characterized as moderate or severe hypoxemia."", ""ventilator printed circuit board assembly have two separate capacitors that fail, which result in the ventilator either shutting down during use, thus necessitating use of an alternate form of ventilation, or the shutdown alert alarm fails to alarm effectively during shut down, which result in respiratory failure, hypoventilation, low oxygen saturation, hypoxia, treatment delay.""]"
5,308,5_incorrect expiration_incorrect expiry_correct expiration_expiration dating,"Expiration date, shelf-life, and storage labeling errors","[""incorrect expiration"", ""incorrect expiry"", ""correct expiration"", ""expiration dating"", ""labeled expiry"", ""label expiration"", ""expiry date"", ""past expiration"", ""expiration dates"", ""expiration date""]","[""incorrect expiration date was listed on the label. correct expiration date was 30, . product was labeled with expiration date of 30, ."", ""incorrect expiration date on product label. the manufacturing date was listed as the expiration date. correct expiration date is \""22.07.2027\"""", ""incorrect expiration date on label. correct expiration date was 25, . product was labeled with expiration date of 28,.""]"
6,387,6_radiography_radiographic_x-ray imaging_mobile x-ray,"X-ray imaging, display, and radiation-control failures","[""radiography"", ""radiographic"", ""x-ray imaging"", ""mobile x-ray"", ""fluoroscopy"", ""misdiagnosis"", ""nuclear medicine"", ""patient orientation"", ""x-ray tube"", ""imaging""]","[""1: mixed images: the radio fluoroscopy (rf) viewer also display a previous patients radiography (rad) images when starting the next patient scan while the previous patient image export is still processing. if the occurs, there is a potential for incorrect patient data to be displayed in the image. 2: detector access point: security vulnerability specific to the wireless portable detector configuration items in manufacturer support connect (psc). due to this vulnerability it is possible, with physical access to the system and knowledge of specific settings, to modify and export data to removable media (example: usb)"", ""following a system restart where the table height 2 (th2) is the default setting and then switched to wallstand vs2, operators will see an incorrect orientation of image on the first examination due to an in the firmware of the wallstand vs2 board. the system will rotate the amplimat field selection by 90 degrees. the wrong amplimat field selection cause an incorrect dose of radiation to occur. additionally, the anatomic position markers become mispositioned and could potentially be associated with the opposite side of the anatomy. (updated 1/30/23) expansion of the root cause to include incorrect amplimat field selection by 90 degrees following the first exposure using wallstand vs2 and a subsequent system restart. previously, this only occurred following a system restart where the table height 2 (th2) is the default setting."", ""multiple software issues which have the potential to lead to misdiagnosis due to image artifacts or incorrect image orientation labels, or the need for a ct rescan. these include: 1. artifacts occur on perfusion images, 2. orientation label reversed in 2d images, 3. auto voice does not work during the cardiac scan, 4. auto voice and operators voice are too quiet, patient cant hear, 5. not all of the images are reconstructed in some cases, 6. no image displayed on the console monitor after enabling cct single scan, 7. ring artifact appears in 32x0.625 collimation of bone scan when soft tissue view is selected, 8. a design defect where the error couch motion signal of couch firmware causes couch to identify current position as target position in next protocol, and 9. calcium scoring study split into separate series after loading to isp.""]"
7,341,7_patient label_patient labels_incorrect label_label incorrectly,"Product label, carton, and patient-label mix-ups","[""patient label"", ""patient labels"", ""incorrect label"", ""label incorrectly"", ""incorrect labeling"", ""vial label"", ""label incorrect"", ""incorrectly labeled"", ""mislabeled incorrect"", ""package label""]","[""label on the outer carton does not match the labels on the outer blister package, inner blister package and patient labels. the only label that not be correct is on the outer carton"", ""manufacturer, is a correction to the patient labels of products manufactured before 20i0 by the manufacturer gmbh production site in winterthur, switzerland, after receiving four complaints of a discrepancy between product patient labels and product labels with respect to the reference and lot numbers of the product. while the information printed on the product label is correct, the info"", ""manufacturer, is a correction to the patient labels of products manufactured before by the manufacturer gmbh production site in winterthur, switzerland, after receiving four complaints of a discrepancy between product patient labels and product labels with respect to the reference and lot numbers of the product. while the information printed on the product label is correct, the info""]"
8,386,8_tip breakage_metal tip_surgical site_surgery possibility,"Surgical blades, handles, welds, and instrument breakage","[""tip breakage"", ""metal tip"", ""surgical site"", ""surgery possibility"", ""surgical"", ""welded joint"", ""wrench"", ""surgical intervention"", ""surgical delay"", ""surgery""]","[""reports of out-of-box failures discovered during the limited launch phase. failure modes included angled deformity at the attachment site of the harvesting tool jaws and the distal end of the harvesting tool shaft, jaws not fully closed out of box, and heater wire lifted/flexed away from jaws."", ""manufacturing variance near transition of tip is increasing the likelihood the wire tip fracture. the fractured tip be retained in the patient. retrieval attempts be made which could result in a delay of surgery and potentially damage soft tissue and increase healing time"", ""monopolar curved scissor (mcs) instruments be susceptible to developing cracks near the proximal edge of the extension tube. these cracks fracture the plastic surrounding the instrument shaft, and cause fragments of the extension tube to fall, including potentially into the patient.""]"
